Time:,08.12.2025 18:14:09,,,,,
Query:,"EN_ALL:((""clinical decision"" OR ""predictive analytics"" ) AND (""workflow"" OR ""resource allocation"" OR ""triage"" ) AND ( ""artificial intelligence"" OR ""machine learning"" OR ""deep learning"" ) AND ( ""emergency room"" OR ""emergency department"" OR ""urgent care"" OR ""trauma center"" OR ""emergency department""))",,,,,
SortBy:,Relevance,,,,,
,,,,,,
Application Id,Application Number,Application Date,Country,Title,Abstract,I P C
WO2023107595,PCT/US2022/052212,08.12.2022,WO,HUMAN RESOURCE MANAGEMENT AI-OPTIMIZATION SYSTEMS AND METHODS,"A method to optimize human resource management within emergency medical service (EMS) according to one approach may have the step of: receiving inputs from at least one or more the data sources such as traffic conditions, weather, incident, location, call type, dispatch type, latitude nd longitude of incident location, age sex, chief complaint, incident date and time, holiday, day of the week, call, classification emergency department population status, incomming (EMS) service requests and he like and combinations thereof, providing a scheduling template; employing one or more machine to generate the one or more predictive assessment values that relate to the comparison of the inputs of the evolution of data over a time interval using machine learning;employing a global positioning systems to provide geo-location information of EMS equipment.",H04W 4/90
US447975816,18717342,08.12.2022,US,HUMAN RESOURCE MANAGEMENT AI-OPTIMIZATION SYSTEMS AND METHODS,"<p id=""p-0001"" num=""0000"">A method to optimize human resource management within emergency medical services (EMS) according to one approach may have the steps of: receiving inputs from at least one or more the data sources such as traffic conditions, weather, incident location of emergency or non emergency call, call type, dispatch type, latitude and longitude of incident location, age, sex, chief complaint, incident date and time, holiday, day of the week, call classification, emergency department population status, incoming EMS service requests, and the like and combinations thereof; providing a scheduling module for building one or more predictive assessment values; the scheduling module outputting automatically a suggested scheduling template; employing one or more machine learning models to generate the one or more predictive assessment values that relate to the comparison of the inputs of the evolution of data over a time interval using machine learning; employing a global positioning systems (GPS) device to provide geo-location information of EMS equipment.</p>",G16H 40/20; G06N 20/20
WO2025129165,PCT/US2024/060327,16.12.2024,WO,MULTISPECTRAL CAMOUFLAGE TESTING AND DEFEAT CAPABILITY,"A camouflage defeat and testing system (1200) includes a network platform (1202) and one or more edge devices (1204). The platform (1202) and/or the edge device (1204) receive inputs from one or more sensor devices (1210-1213) monitoring an area of interest (1214). For example, the area of interest 1214 may be a battlefield or staging area of an adversary. In this case, the area of interest (1214) includes a target (1216) utilizing a camouflage technology (1218) such as multispectral camouflage. The system (1200) employs spatial and/or temporal processing to process images and the sensor devices (1210-1213) to defeat the camouflage technology (1218). The system (1200) can also be employed to test and optimize multispectral camouflage capabilities.",G06V 10/74; G06V 20/40; G06V 20/52
US458063342,18982178,16.12.2024,US,MULTISPECTRAL CAMOUFLAGE TESTING AND DEFEAT CAPABILITY,"<p id=""p-0001"" num=""0000"">A camouflage defeat and testing system (<b>1200</b>) includes a network platform (<b>1202</b>) and one or more edge devices (<b>1204</b>). The platform (<b>1202</b>) and/or the edge device (<b>1204</b>) receive inputs from one or more sensor devices (<b>1210</b>-<b>1213</b>) monitoring an area of interest (<b>1214</b>). For example, the area of interest <b>1214</b> may be a battlefield or staging area of an adversary. In this case, the area of interest (<b>1214</b>) includes a target (<b>1216</b>) utilizing a camouflage technology (<b>1218</b>) such as multispectral camouflage. The system (<b>1200</b>) employs spatial and/or temporal processing to process images and the sensor devices (<b>1210</b>-<b>1213</b>) to defeat the camouflage technology (<b>1218</b>). The system (<b>1200</b>) can also be employed to test and optimize multispectral camouflage capabilities.</p>",G06V 10/80; G06V 10/143; G06V 20/40; G06V 20/50; G06V 40/10; G06V 40/40
US448392241,18798710,08.08.2024,US,Information Management System and Method,"<p id=""p-0001"" num=""0000"">A computer-implemented method, computer program product and computing system for: monitoring a plurality of data signals associated with a plurality of patients within a medical environment; processing the plurality of data signals to determine if one or more of the plurality of patients is experiencing an urgent care event; and if such an urgent care event is occurring, notifying an on-call care member so that the urgent care event can be addressed.</p>",A61B 5/00; G16H 10/60; G16H 40/67
US448393505,18798716,08.08.2024,US,Information Management System and Method,"<p id=""p-0001"" num=""0000"">A computer-implemented method, computer program product and computing system for: monitoring a plurality of data signals associated with a plurality of patients within a medical environment; processing the plurality of data signals to determine if one or more of the plurality of patients is experiencing an urgent care event; and if such an urgent care event is occurring, generating an urgent care report for the one or more patients, wherein the urgent care report includes one or more of: a summary of the urgent care event of the one or more patients, a justification as to why this is an urgent care event for the one or more patients, and a recommendation for addressing the urgent care event of the one or more patients.</p>",G16H 40/20; G16H 10/60; G16H 15/00; G16H 40/67
WO2025035023,PCT/US2024/041554,08.08.2024,WO,INFORMATION MANAGEMENT SYSTEM AND METHOD,"A computer-implemented method, computer program product and computing system for: interfacing with a bedside monitoring device to receive data signals, wherein the data signals have monitoring criteria; enabling adjustment of one or more of the monitoring criteria; suggesting a proposed change to a user concerning the one or more monitoring criteria; and providing feedback to the user concerning the proposed change",G16H 10/60; G16H 50/20; G16H 50/30; G16H 20/00; G06F 21/60; G06F 11/00; G08B 23/00; G16H 10/00
US448393509,18798670,08.08.2024,US,Information Management System and Method,"<p id=""p-0001"" num=""0000"">A computer-implemented method, computer program product and computing system for: interfacing with a bedside monitoring device to receive data signals, wherein the data signals have monitoring criteria; enabling adjustment of one or more of the monitoring criteria; suggesting a proposed change to a user concerning the one or more monitoring criteria; and providing instructions to the user concerning the proposed change.</p>",G16H 40/40; G16H 40/60
US448393511,18798706,08.08.2024,US,Information Management System and Method,"<p id=""p-0001"" num=""0000"">A computer-implemented method, computer program product and computing system for: interfacing with a bedside monitoring device to receive data signals, wherein the data signals have monitoring criteria; enabling adjustment of one or more of the monitoring criteria; receiving a proposed change from a user concerning the one or more monitoring criteria; and providing feedback to the user concerning the proposed change.</p>",G16H 40/67; A61B 5/00
